COURSECODE,REVISIONCODE,SECTION,STUDYCODE,STUDENTCODE,CLASSCHECK,
ACC311,2,365,C,591204684,"P,,,,,,,,,,,,,,",
MGT202,2,570,C,612200418,",,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
FIB201,1,65,C,621203465,"P,P,,,,,,,,,,,,,,,",
ITD331,1,1,C,631101429,",,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,",
POS104,1,60,C,631116872,"P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
POS224,1,60,C,631116872,",,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
PAD362,1,20,C,631116872,"P,A,P,P,P,P,P,P,P,,,P,P,P,P,,,,",
PAD366,2,20,C,631116872,"P,,P,P,,P,P,P,,,P,P,,,,,,",
PHL106,1,20,C,631116872,",,,,,,,,,,,,,,,,,,",
DMA323,1,1,C,631203491,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
PHE118,3,1,C,632100052,"A,A,A,A,A,A,A,A,,P,A,A,A,,,,,",
HCI105,1,565,C,632100052,"A,P,S,P,P,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
HCI201,1,5365,C,632100052,"P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
MAI482,1,1,C,641101926,"P,P,S,A,A,P,A,S,,,P,L,L,L,L,,,,",
MAI482,1,1,L,641101926,",,,,,,,,,,,,,,,,,,",
BSC201,1,365,C,641107744,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,",
BSC201,1,365,L,641107744,",,,,,,,,,,,,,,,,,,,,,,,,",
SCI102,1,22,C,641107744,"P,P,P,P,,,,,,,,,,,,,,",
DMK451,1,555,C,641110844,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
DMK371,1,5355,C,641110844,"A,,A,,,,,,,,,,,,",
DMK315,1,55,C,641110860,",,,,,,,,,,,,,,,,",
LAW202,1,55,C,641110860,"S,P,P,P,P,P,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
FIB201,1,60,C,641110860,",,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
DMK371,1,5355,C,641110925,"A,,A,,,,,,,,,,,,",
FIB201,1,65,C,641111060,",,,,P,,,,,,,,P,,P,,",
DMK371,1,5355,C,641111060,"A,,A,,,,,,,,,,,,",
LAW106,1,20,C,651100299,",,P,,P,,P,,P,,P,,,,",
EDU412,2,2,C,651100508,",,,,,,,,,,,,,,,,,",
EDU412,2,2,C,651100516,",,,,,,,,,,,,,,,,,",
PAD371,2,20,C,651100590,"P,P,P,A,P,P,,P,,,P,P,P,P,P,,,",
PAD402,3,20,C,651100590,"L,P,S,P,P,P,P,P,,P,S,P,P,P,L,,,,",
PAD427,2,20,C,651100590,"P,P,P,P,S,P,P,P,,,S,P,P,P,P,,,",
MAT100,1,20,C,651100710,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,P,,",
LAW106,1,20,C,651100744,",,P,,P,,,,L,,S,,,,",
